iter	Passed	Remaining
0	1	157
1	2	140
2	4	131
3	4	119
4	6	124
5	7	121
6	8	118
7	10	116
8	11	116
9	12	115
10	13	112
11	14	109
12	15	106
13	16	103
14	17	101
15	18	99
16	20	98
17	21	96
18	22	94
19	23	92
20	24	90
21	25	89
22	26	88
23	27	88
24	28	86
25	29	84
26	30	83
27	31	81
28	32	80
29	33	79
30	34	77
31	35	76
32	36	75
33	37	73
34	39	72
35	40	71
36	41	70
37	42	69
38	43	67
39	44	66
40	45	65
41	45	63
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	55
49	53	53
50	54	52
51	56	51
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	28
74	80	26
75	82	25
76	83	24
77	84	23
78	85	22
79	86	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	100	9
91	101	8
92	102	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
