iter	Passed	Remaining
0	169	169777
1	171	85684
2	174	58034
3	177	44100
4	178	35495
5	179	29714
6	180	25604
7	181	22495
8	182	20082
9	183	18162
10	184	16602
11	185	15276
12	189	14392
13	192	13578
14	194	12774
15	196	12055
16	197	11447
17	199	10865
18	202	10446
19	207	10157
20	208	9728
21	209	9328
22	211	8962
23	212	8624
24	213	8316
25	214	8026
26	217	7837
27	221	7675
28	228	7649
29	230	7445
30	234	7315
31	237	7181
32	239	7019
33	240	6838
34	241	6671
35	243	6509
36	244	6374
37	249	6312
38	251	6203
39	254	6111
40	255	5983
41	257	5866
42	258	5745
43	259	5633
44	262	5566
45	263	5475
46	265	5384
47	266	5287
48	267	5192
49	268	5100
50	269	5014
51	270	4930
52	271	4855
53	272	4776
54	275	4727
55	277	4676
56	278	4613
57	281	4577
58	283	4514
59	284	4452
60	285	4394
61	286	4338
62	288	4294
63	290	4249
64	292	4204
65	295	4176
66	296	4134
67	298	4087
68	299	4041
69	301	4001
70	303	3976
71	308	3976
72	309	3936
73	311	3891
74	312	3849
75	313	3808
76	314	3769
77	315	3729
78	316	3694
79	321	3698
80	323	3670
81	324	3635
82	325	3595
83	326	3564
84	327	3529
85	329	3496
86	330	3464
87	331	3436
88	334	3419
89	336	3405
90	339	3391
91	342	3375
92	343	3345
93	344	3316
94	346	3300
95	349	3289
96	352	3277
97	353	3251
98	354	3224
99	355	3199
100	356	3172
101	357	3146
102	358	3122
103	360	3108
104	362	3093
105	363	3069
106	367	3064
107	371	3068
108	372	3046
109	374	3030
110	377	3026
111	382	3029
112	383	3011
113	385	2992
114	386	2971
115	387	2949
116	387	2927
117	389	2914
118	392	2903
119	397	2913
120	399	2901
121	400	2882
122	401	2861
123	402	2842
124	403	2823
125	405	2810
126	407	2800
127	410	2793
128	411	2775
129	412	2757
130	412	2739
131	413	2721
132	414	2704
133	415	2686
134	416	2669
135	417	2651
136	418	2633
137	421	2633
138	423	2620
139	425	2614
140	427	2603
141	429	2592
142	429	2576
143	430	2560
144	431	2544
145	433	2533
146	435	2528
147	437	2518
148	438	2503
149	439	2488
150	439	2472
151	440	2458
152	441	2443
153	442	2428
154	442	2414
155	443	2400
156	444	2387
157	445	2373
158	446	2360
159	448	2355
160	450	2345
161	451	2333
162	452	2324
163	454	2318
164	455	2306
165	456	2294
166	457	2281
167	458	2268
168	458	2256
169	459	2243
170	460	2231
171	462	2224
172	463	2215
173	464	2206
174	466	2199
175	467	2190
176	468	2179
177	469	2169
178	470	2158
179	471	2148
180	472	2138
181	473	2128
182	474	2118
183	475	2108
184	478	2106
185	480	2101
186	482	2096
187	483	2087
188	484	2077
189	484	2067
190	485	2057
191	486	2048
192	487	2039
193	488	2029
194	489	2020
195	490	2011
196	491	2005
197	493	1999
198	496	1996
199	497	1991
200	498	1982
201	499	1973
202	500	1966
203	501	1957
204	502	1949
205	503	1940
206	504	1931
207	505	1923
208	507	1921
209	509	1917
210	511	1912
211	512	1905
212	513	1897
213	514	1889
214	515	1881
215	515	1872
216	516	1864
217	517	1856
218	518	1849
219	519	1841
220	520	1836
221	522	1832
222	524	1828
223	526	1823
224	527	1815
225	527	1808
226	528	1800
227	529	1793
228	530	1786
229	531	1780
230	532	1773
231	533	1766
232	534	1759
233	537	1757
234	538	1753
235	540	1748
236	543	1750
237	545	1745
238	546	1739
239	547	1732
240	548	1726
241	550	1723
242	551	1717
243	552	1712
244	554	1708
245	555	1701
